"filename", "language", "JSON", "Markdown", "JavaScript", "PostCSS", "XML", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\logisticsService\logisticsControllers\riderController.js", "JavaScript", 0, 0, 221, 0, 0, 0, 0, 9, 12, 242
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\logisticsService\logisticsRoutes\authRoute.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\logisticsService\logisticsRoutes\deliveryPartnerRoute.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\logisticsService\logisticsRoutes\listingRoute.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\logisticsService\logisticsRoutes\riderRoute.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\logisticsService\middlewares\authMiddleware.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\logisticsService\package-lock.json", "JSON", 2232, 0, 0, 0, 0, 0, 0, 0, 1, 2233
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\logisticsService\package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\adity\OneDrive\Desktop\VeggieTO\backend\services\logisticsService\server.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 10, 54
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\eslint.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\index.html", "HTML", 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\package-lock.json", "JSON", 3623, 0, 0, 0, 0, 0, 0, 0, 1, 3624
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\package.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\App.css", "PostCSS", 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 70, 0, 3, 73
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\assets\krishi.svg", "XML", 0, 0, 0, 0, 37, 0, 0, 0, 1, 38
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Carts\Cart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 210, 2, 16, 228
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Carts\utils\CartCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 34, 5, 6, 45
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Homepage\FifthSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 5, 55
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Homepage\FirstSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 6, 124
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Homepage\FourthSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 65, 1, 8, 74
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Homepage\PreSecondSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 1, 7, 45
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Homepage\SecondSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 34, 2, 4, 40
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Homepage\SixthSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 2, 4, 35
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Homepage\ThirdSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 3, 38
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Homepage\Utilities\Card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 4, 6, 24
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Homepage\Utilities\Carousel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 8, 54
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Homepage\Utilities\DeliveryCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 39, 2, 4, 45
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Homepage\Utilities\DiscoverCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 44, 2, 5, 51
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Homepage\Utilities\Fresh.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 41, 3, 5, 49
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Homepage\Utilities\TickCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\OrderSummary\OrderSummary.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 10, 82
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Partials\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 64, 6, 6, 76
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Partials\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 289, 9, 24, 322
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Partials\utils\ProfileMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 72, 2, 7, 81
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\Partials\utils\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 9, 76
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\ProductPage\ProductArea.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 158, 4, 28, 190
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\ProductPage\utils\ProductCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 107, 3, 9, 119
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\components\ProductPage\utils\Slider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 95, 5, 13, 113
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\index.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\tailwind.config.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 1, 1, 33
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\CustomerModule\vite.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 1, 2, 12
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\eslint.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\index.html", "HTML", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\package-lock.json", "JSON", 3928, 0, 0, 0, 0, 0, 0, 0, 1, 3929
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\src\App.css", "PostCSS", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\src\Components\Delivery.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 319, 13, 26, 358
